r,mu,sigma,gamma,c,lambda_star,estimated_ExT,lambda_iterations,mean_terminal,std_terminal,prob_beat_rf,prob_beat_stock,prob_negative_wealth,mean_max_drawdown,avg_max_abs_weight,prob_borrowing
0.01,0.06,0.15,0.25,0.00025,1.6427293155698584,1285.4586999122212,78,1285.4587019932248,639.1125622143771,0.72,0.74,0.12,-0.576008747089938,686.8278511044338,1.0
0.01,0.06,0.15,0.75,0.00075,2.615047058411672,1076.6980631709066,74,1076.6980637214433,247.7622495315084,0.66,0.74,0.0,-0.22272024593855985,2.685271843885642,1.0
0.01,0.06,0.45,0.25,0.00025,1.5266796392294364,1053.3593491709094,62,1053.359349545606,234.0039615205776,0.6,0.59,0.0,-0.21976852465746602,0.6861935113579638,0.1
0.01,0.06,0.45,0.75,0.00075,2.5165749813422926,1011.0500091613177,59,1011.0500091694043,76.96205678311759,0.54,0.58,0.0,-0.08291419985370913,0.19100469385291016,0.0
0.01,0.14,0.15,0.25,0.00025,2.5592042315034216,3118.4085401993543,159,3118.408550102913,2008.9857837030227,0.88,0.88,0.45,-1.344710295007711,5710.3161156862925,1.0
0.01,0.14,0.15,0.75,0.00075,3.346580067383332,1564.3867373710937,140,1564.3867402973794,767.4685567633203,0.89,0.9,0.15,-0.6539346878853824,1794.619918941272,1.0
0.01,0.14,0.45,0.25,0.00025,1.6544416747278003,1308.8834213668918,79,1308.8834237038911,584.2593643063142,0.72,0.72,0.07,-0.4952826568593272,72.59896059141933,1.0
0.01,0.14,0.45,0.75,0.00075,2.5912792878363478,1060.852883980232,71,1060.8528844302655,173.94175061853275,0.69,0.67,0.0,-0.19282262305822073,0.6642614411043373,0.06
0.05,0.06,0.15,0.25,0.00025,1.5219510319940122,1043.9021279302005,60,1043.9021278710843,145.58156903921906,0.49,0.7,0.0,-0.12828367127332338,1.0009704221548659,0.41
0.05,0.06,0.15,0.75,0.00075,2.57445263829986,1049.6351162217377,65,1049.635116206964,40.47372425812657,0.53,0.58,0.0,-0.033871561753022465,0.3072705973602389,0.0
0.05,0.06,0.45,0.25,0.00025,1.5266242708600497,1053.2486079116068,61,1053.2486079279524,36.909764819651166,0.57,0.55,0.0,-0.03252092692953024,0.09839404265456897,0.0
0.05,0.06,0.45,0.75,0.00075,2.57828528277129,1052.190209925563,66,1052.1902099329322,12.298310468704408,0.5,0.6,0.0,-0.006665289439853336,0.0322418067934633,0.0
0.05,0.14,0.15,0.25,0.00025,2.051999031001757,2103.9981361207524,114,2103.998142510548,1277.4293740875935,0.87,0.87,0.29,-0.9605346927075736,3226.4597212102294,1.0
0.05,0.14,0.15,0.75,0.00075,3.1034311472466167,1402.2874550067138,115,1402.2874570338768,356.7545972816144,0.89,0.92,0.03,-0.3791634376227519,169.8590945509229,1.0
0.05,0.14,0.45,0.25,0.00025,1.5388355122527344,1077.671098090583,63,1077.67109833025,405.3952527474982,0.59,0.72,0.03,-0.3637808657932161,178.34760099399347,0.73
0.05,0.14,0.45,0.75,0.00075,2.608160660196641,1072.107130826658,69,1072.107131008718,134.4910818292445,0.55,0.6,0.0,-0.12887847940071107,0.3803987345779787,0.0
